Unnamed: 0	chrom	end	start	strand	disruption_SCD	insertion_SCD	orientation	background_index	flank_bp	spacer_bp
166	chr12	83502436	83502417	-	37.97	34.4	>	6	34	56
167	chr5	75853265	75853246	-	37.94	27.88	>	6	34	56
168	chr13	110382742	110382723	+	37.88	61.84	>	6	34	56
169	chr5	62481159	62481140	-	37.8	35.4	>	6	34	56
170	chr7	49121503	49121484	-	37.7	29.61	>	6	34	56
171	chr15	11966575	11966556	-	37.66	34.72	>	6	34	56
172	chr3	31146135	31146116	+	37.53	44.5	>	6	34	56
173	chr2	37815879	37815860	+	37.47	39.2	>	6	34	56
174	chr5	33033442	33033423	-	37.44	48.28	>	6	34	56
175	chr9	7595466	7595447	-	37.4	28.72	>	6	34	56
176	chr5	21641153	21641134	-	37.3	33.66	>	6	34	56
177	chr14	48367302	48367283	-	37.12	39.88	>	6	34	56
178	chr17	14524624	14524605	+	37.1	38.88	>	6	34	56
179	chr4	84064835	84064816	+	37.06	23.38	>	6	34	56
180	chr4	63368786	63368767	+	37.06	51.6	>	6	34	56
181	chr5	102149680	102149661	+	37.03	38.97	>	6	34	56
182	chr12	32897684	32897665	-	36.88	40.9	>	6	34	56
183	chr16	91936532	91936513	+	36.72	43.06	>	6	34	56
184	chr6	37046379	37046360	-	36.72	47.7	>	6	34	56
185	chr18	59081896	59081877	+	36.7	37.34	>	6	34	56
186	chr6	103697552	103697533	-	36.3	43.6	>	6	34	56
187	chr18	19937930	19937911	+	36.3	37.56	>	6	34	56
188	chr6	93757594	93757575	+	36.28	18.31	>	6	34	56
189	chr17	9756371	9756352	+	36.28	21.2	>	6	34	56
190	chr2	96585854	96585835	+	36.25	26.84	>	6	34	56
191	chr11	82915176	82915157	+	36.2	36.34	>	6	34	56
192	chr6	6005837	6005818	+	36.03	35.2	>	6	34	56
193	chr1	98392238	98392219	-	36.03	38.97	>	6	34	56
194	chr7	48749384	48749365	+	35.94	38.3	>	6	34	56
195	chr11	105911812	105911793	-	35.9	37.8	>	6	34	56
196	chr10	45045486	45045467	-	35.8	35.22	>	6	34	56
197	chr2	4492748	4492729	-	35.75	19.97	>	6	34	56
198	chr6	18087397	18087378	+	35.75	40.84	>	6	34	56
199	chr5	90203341	90203322	+	35.7	41.12	>	6	34	56
200	chr7	136489148	136489129	+	35.62	28.06	>	6	34	56
201	chr9	109862620	109862601	-	35.6	34.12	>	6	34	56
202	chr15	59876355	59876336	+	35.3	32.16	>	6	34	56
203	chr14	76473612	76473593	-	35.25	45.66	>	6	34	56
204	chr3	128349320	128349301	+	35.03	41.75	>	6	34	56
205	chr3	45375963	45375944	+	35.03	23.92	>	6	34	56
206	chr3	133314669	133314650	+	34.97	39.0	>	6	34	56
207	chr1	96801850	96801831	-	34.84	30.55	>	6	34	56
208	chr7	115216958	115216939	+	34.62	30.45	>	6	34	56
209	chr9	59282577	59282558	-	34.62	26.88	>	6	34	56
210	chr2	148112135	148112116	-	34.5	31.5	>	6	34	56
211	chr18	52457916	52457897	-	34.47	28.2	>	6	34	56
212	chr6	56691454	56691435	-	34.34	42.2	>	6	34	56
213	chr13	20292580	20292561	-	34.3	38.5	>	6	34	56
214	chr13	57260119	57260100	-	34.25	52.66	>	6	34	56
215	chr13	113877615	113877596	+	34.25	36.75	>	6	34	56
216	chr13	116715029	116715010	-	34.1	31.72	>	6	34	56
217	chr4	83596692	83596673	-	34.1	52.75	>	6	34	56
218	chr8	64941619	64941600	-	34.06	33.75	>	6	34	56
219	chr3	51701488	51701469	+	34.03	22.56	>	6	34	56
220	chr14	120061322	120061303	-	33.84	29.2	>	6	34	56
221	chr7	75910166	75910147	+	33.8	57.6	>	6	34	56
222	chr4	98702698	98702679	-	33.78	31.62	>	6	34	56
223	chr3	146185137	146185118	+	33.62	52.6	>	6	34	56
224	chr4	151157152	151157133	+	33.53	59.38	>	6	34	56
225	chr5	43391861	43391842	-	33.5	21.5	>	6	34	56
226	chr11	93856511	93856492	-	33.47	26.19	>	6	34	56
227	chr14	59605843	59605824	+	33.47	40.3	>	6	34	56
228	chr14	84438580	84438561	+	33.44	23.31	>	6	34	56
229	chr12	50943824	50943805	-	33.28	38.56	>	6	34	56
230	chr7	83550335	83550316	-	33.2	30.12	>	6	34	56
231	chr6	117167008	117166989	+	33.03	30.3	>	6	34	56
232	chr4	12538791	12538772	+	33.0	21.84	>	6	34	56
233	chr18	47353079	47353060	+	32.84	24.58	>	6	34	56
234	chr5	12541496	12541477	-	32.72	22.56	>	6	34	56
235	chr2	60721127	60721108	+	32.72	22.53	>	6	34	56
236	chr11	78838251	78838232	+	32.72	51.5	>	6	34	56
237	chr8	73356225	73356206	+	32.62	23.39	>	6	34	56
238	chr12	10598567	10598548	+	32.5	41.56	>	6	34	56
239	chr19	20345158	20345139	-	32.25	47.94	>	6	34	56
240	chr17	58909486	58909467	-	32.16	39.4	>	6	34	56
241	chr10	69655037	69655018	-	32.12	36.56	>	6	34	56
242	chr4	3967733	3967714	-	32.12	41.75	>	6	34	56
243	chr16	21192795	21192776	-	32.06	38.78	>	6	34	56
244	chr11	12291593	12291574	-	32.0	15.54	>	6	34	56
245	chr11	117385082	117385063	+	31.83	36.6	>	6	34	56
246	chr12	32292095	32292076	+	31.73	20.83	>	6	34	56
247	chr4	64833096	64833077	+	31.69	34.34	>	6	34	56
248	chr13	47301245	47301226	+	31.67	43.9	>	6	34	56
249	chr1	89631957	89631938	-	31.56	45.38	>	6	34	56
250	chr9	69296601	69296582	-	31.53	38.66	>	6	34	56
251	chr3	53735364	53735345	+	31.28	24.5	>	6	34	56
252	chr10	45373471	45373452	-	31.2	37.7	>	6	34	56
253	chr8	91797725	91797706	+	31.19	30.23	>	6	34	56
254	chr4	88035662	88035643	+	31.06	19.66	>	6	34	56
255	chr2	75151187	75151168	-	31.05	37.9	>	6	34	56
256	chr14	66791971	66791952	-	31.02	32.1	>	6	34	56
257	chr2	93199062	93199043	-	30.9	51.25	>	6	34	56
258	chr2	73551006	73550987	+	30.86	53.72	>	6	34	56
259	chr12	89451144	89451125	-	30.81	40.1	>	6	34	56
260	chr16	66086729	66086710	-	30.81	33.7	>	6	34	56
261	chr14	114791647	114791628	-	30.72	37.2	>	6	34	56
262	chr4	43420547	43420528	-	30.61	34.5	>	6	34	56
263	chr1	87447687	87447668	+	30.56	32.53	>	6	34	56
264	chr15	55306471	55306452	+	30.56	24.06	>	6	34	56
265	chr15	97667578	97667559	+	30.52	37.12	>	6	34	56
266	chr2	16359548	16359529	+	30.47	16.92	>	6	34	56
267	chr14	8356099	8356080	+	30.42	51.06	>	6	34	56
268	chr3	19894816	19894797	-	30.38	33.66	>	6	34	56
269	chr12	43813750	43813731	-	30.34	24.06	>	6	34	56
270	chr2	27770378	27770359	+	30.12	46.8	>	6	34	56
271	chr16	48675836	48675817	-	30.12	28.97	>	6	34	56
272	chr10	13016733	13016714	+	30.1	53.44	>	6	34	56
273	chr2	76367359	76367340	+	30.05	30.6	>	6	34	56
274	chr2	115515230	115515211	+	30.05	12.29	>	6	34	56
275	chr19	16785108	16785089	-	30.03	27.4	>	6	34	56
276	chr3	78948444	78948425	+	30.03	29.16	>	6	34	56
277	chr1	37250876	37250857	-	29.94	25.45	>	6	34	56
278	chr18	74431409	74431390	+	29.94	28.48	>	6	34	56
279	chr1	38787652	38787633	-	29.89	46.22	>	6	34	56
280	chr3	14874584	14874565	+	29.88	22.88	>	6	34	56
281	chr9	69505778	69505759	+	29.88	30.58	>	6	34	56
282	chr10	84450913	84450894	-	29.77	31.7	>	6	34	56
283	chr2	172216047	172216028	-	29.77	65.06	>	6	34	56
284	chr10	97712895	97712876	+	29.72	22.83	>	6	34	56
285	chr1	4770074	4770055	+	29.72	39.66	>	6	34	56
286	chr12	50301580	50301561	-	29.69	16.55	>	6	34	56
287	chr15	85266923	85266904	+	29.69	42.06	>	6	34	56
288	chr4	85403030	85403011	+	29.62	27.23	>	6	34	56
289	chr6	97526370	97526351	-	29.53	31.17	>	6	34	56
290	chr8	112046096	112046077	+	29.5	62.6	>	6	34	56
291	chr12	96311368	96311349	-	29.48	23.8	>	6	34	56
292	chr1	93507239	93507220	-	29.45	32.5	>	6	34	56
293	chr13	21714927	21714908	+	29.4	37.72	>	6	34	56
294	chr6	49008180	49008161	+	29.38	27.1	>	6	34	56
295	chr17	17749545	17749526	-	29.36	32.88	>	6	34	56
296	chr6	145360253	145360234	+	29.34	33.62	>	6	34	56
297	chr7	17066630	17066611	-	29.27	41.75	>	6	34	56
298	chr12	81788850	81788831	-	29.25	32.47	>	6	34	56
299	chr7	129649172	129649153	+	29.19	42.88	>	6	34	56
300	chr14	104039053	104039034	+	29.17	41.16	>	6	34	56
301	chr13	41634744	41634725	-	29.08	40.84	>	6	34	56
302	chr7	138835232	138835213	-	29.02	47.88	>	6	34	56
303	chr15	97195797	97195778	+	28.92	38.5	>	6	34	56
304	chr1	119087737	119087718	+	28.89	50.28	>	6	34	56
305	chr4	85819373	85819354	-	28.86	29.28	>	6	34	56
306	chr11	30657307	30657288	-	28.86	6.477	>	6	34	56
307	chr5	49369245	49369226	+	28.66	27.94	>	6	34	56
308	chr6	106805067	106805048	+	28.61	20.38	>	6	34	56
309	chr6	31660958	31660939	+	28.53	52.9	>	6	34	56
310	chr12	8306749	8306730	-	28.48	47.94	>	6	34	56
311	chr13	42822785	42822766	-	28.47	44.4	>	6	34	56
312	chr15	34968778	34968759	+	28.4	27.94	>	6	34	56
313	chr7	68369859	68369840	+	28.38	58.97	>	6	34	56
314	chr15	80266443	80266424	+	28.33	34.62	>	6	34	56
315	chr6	102171110	102171091	+	28.19	24.06	>	6	34	56
316	chr16	72605273	72605254	-	28.11	17.7	>	6	34	56
317	chr18	65490506	65490487	+	28.06	33.94	>	6	34	56
318	chr3	55373775	55373756	+	28.0	19.75	>	6	34	56
319	chr1	53927814	53927795	-	27.97	28.48	>	6	34	56
320	chr2	160368066	160368047	-	27.95	21.97	>	6	34	56
321	chr10	42295232	42295213	-	27.94	37.8	>	6	34	56
322	chr7	116040411	116040392	-	27.9	26.19	>	6	34	56
323	chr10	116197535	116197516	-	27.81	28.58	>	6	34	56
324	chr5	20773533	20773514	-	27.81	20.77	>	6	34	56
325	chr12	80725012	80724993	-	27.73	38.97	>	6	34	56
326	chr15	66899881	66899862	-	27.6	21.5	>	6	34	56
327	chr18	16822208	16822189	-	27.56	13.28	>	6	34	56
328	chr18	14503254	14503235	-	27.55	19.48	>	6	34	56
329	chr5	98344786	98344767	+	27.44	28.3	>	6	34	56
330	chr10	77517236	77517217	+	27.39	30.44	>	6	34	56
331	chr1	44741472	44741453	-	27.38	6.344	>	6	34	56
332	chr6	127945983	127945964	-	27.28	24.97	>	6	34	56
333	chr16	42914955	42914936	-	27.27	20.78	>	6	34	56
334	chr18	39137558	39137539	+	27.11	15.805	>	6	34	56
335	chr13	42575907	42575888	+	27.11	22.34	>	6	34	56
336	chr2	13278209	13278190	+	27.06	48.53	>	6	34	56
337	chr18	43836585	43836566	-	27.06	22.66	>	6	34	56
338	chr4	114647896	114647877	+	27.05	26.58	>	6	34	56
339	chr16	44149214	44149195	-	27.03	37.28	>	6	34	56
340	chr13	109776299	109776280	+	27.02	27.47	>	6	34	56
341	chr19	30217515	30217496	+	27.0	44.25	>	6	34	56
342	chr6	61316075	61316056	+	26.94	38.16	>	6	34	56
343	chr17	78598832	78598813	+	26.92	37.16	>	6	34	56
344	chr2	117231457	117231438	-	26.88	23.62	>	6	34	56
345	chr4	115101816	115101797	+	26.84	34.88	>	6	34	56
346	chr10	57448131	57448112	-	26.8	44.97	>	6	34	56
347	chr13	113046665	113046646	+	26.77	22.72	>	6	34	56
348	chr4	110022447	110022428	-	26.58	43.47	>	6	34	56
349	chr7	101653829	101653810	+	26.5	47.97	>	6	34	56
350	chr5	67756338	67756319	+	26.5	26.55	>	6	34	56
351	chr3	62192717	62192698	-	26.5	17.1	>	6	34	56
352	chr10	17728146	17728127	-	26.45	14.96	>	6	34	56
353	chr5	37752557	37752538	-	26.33	30.73	>	6	34	56
354	chr1	60961316	60961297	-	26.3	26.22	>	6	34	56
355	chr17	68176981	68176962	+	26.27	18.84	>	6	34	56
356	chr7	37357871	37357852	-	26.2	67.6	>	6	34	56
357	chr4	32572316	32572297	-	26.16	44.75	>	6	34	56
358	chr4	96696741	96696722	+	26.12	32.22	>	6	34	56
359	chr4	109729491	109729472	-	26.06	50.3	>	6	34	56
360	chr10	111977780	111977761	+	25.78	32.1	>	6	34	56
361	chr5	45424489	45424470	-	25.73	30.9	>	6	34	56
362	chr2	61494577	61494558	-	25.72	22.25	>	6	34	56
363	chr6	13287046	13287027	+	25.69	21.62	>	6	34	56
364	chr9	116060829	116060810	+	25.66	36.5	>	6	34	56
365	chr8	17537753	17537734	-	25.64	36.44	>	6	34	56
366	chr9	77781636	77781617	-	25.62	27.94	>	6	34	56
367	chr15	5106460	5106441	-	25.56	29.45	>	6	34	56
368	chr17	93141334	93141315	-	25.53	33.03	>	6	34	56
369	chr6	97759520	97759501	+	25.52	17.88	>	6	34	56
370	chr8	119384750	119384731	-	25.47	45.94	>	6	34	56
371	chr6	88113322	88113303	+	25.38	41.75	>	6	34	56
372	chr15	101984527	101984508	-	25.38	56.7	>	6	34	56
373	chr8	54493335	54493316	-	25.34	39.7	>	6	34	56
374	chr9	24119622	24119603	+	25.33	14.83	>	6	34	56
375	chr3	50077169	50077150	-	25.31	24.22	>	6	34	56
376	chr4	47419767	47419748	+	25.23	44.03	>	6	34	56
377	chr2	76115910	76115891	+	25.22	28.97	>	6	34	56
378	chr15	67174759	67174740	+	25.2	12.74	>	6	34	56
379	chr8	125574509	125574490	+	25.17	12.85	>	6	34	56
380	chr1	161737065	161737046	-	25.11	39.75	>	6	34	56
381	chr3	85571455	85571436	-	25.1	9.7	>	6	34	56
382	chr18	19577078	19577059	-	25.02	27.28	>	6	34	56
383	chr19	36083087	36083068	-	25.0	29.4	>	6	34	56
384	chr8	115709616	115709597	-	24.98	9.14	>	6	34	56
385	chr10	126330794	126330775	-	24.84	24.02	>	6	34	56
386	chr15	25993551	25993532	+	24.81	33.28	>	6	34	56
387	chr5	131430355	131430336	-	24.78	45.44	>	6	34	56
388	chr1	9545352	9545333	-	24.78	38.06	>	6	34	56
389	chr19	28768445	28768426	-	24.75	36.44	>	6	34	56
390	chr10	24630876	24630857	+	24.72	22.94	>	6	34	56
391	chr17	54351102	54351083	+	24.53	15.79	>	6	34	56
392	chr16	20496806	20496787	+	24.47	28.86	>	6	34	56
393	chr12	109394024	109394005	-	24.44	15.02	>	6	34	56
394	chr13	21803288	21803269	-	24.42	40.1	>	6	34	56
395	chr3	103392995	103392976	+	24.38	33.9	>	6	34	56
396	chr15	25428758	25428739	+	24.31	24.08	>	6	34	56
397	chr3	135206860	135206841	-	24.3	9.21	>	6	34	56
398	chr8	65139261	65139242	+	24.3	33.56	>	6	34	56
399	chr9	29650850	29650831	-	24.23	35.72	>	6	34	56
400	chr3	127971093	127971074	+	24.2	46.1	>	6	34	56
401	chr2	104035038	104035019	+	24.16	33.7	>	6	34	56
402	chr9	81635302	81635283	+	24.11	12.08	>	6	34	56
403	chr6	95484597	95484578	+	24.03	13.41	>	6	34	56
404	chr14	72293991	72293972	-	23.83	34.2	>	6	34	56
405	chr18	65490035	65490016	-	23.72	29.94	>	6	34	56
406	chr12	38123788	38123769	-	23.66	16.0	>	6	34	56
407	chr18	70184838	70184819	-	23.66	11.39	>	6	34	56
408	chr3	152095252	152095233	-	23.53	23.67	>	6	34	56
409	chr8	32002994	32002975	-	23.5	23.94	>	6	34	56
410	chr11	22206830	22206811	-	23.48	11.1	>	6	34	56
411	chr5	76541051	76541032	-	23.44	19.22	>	6	34	56
412	chr10	52106337	52106318	+	23.38	22.61	>	6	34	56
413	chr1	84697462	84697443	-	23.38	25.22	>	6	34	56
414	chr1	67181385	67181366	+	23.34	35.0	>	6	34	56
415	chr6	101267027	101267008	+	23.31	12.77	>	6	34	56
416	chr6	129255175	129255156	-	23.25	41.8	>	6	34	56
417	chr4	115710017	115709998	-	23.19	25.83	>	6	34	56
418	chr2	118241614	118241595	-	23.19	37.16	>	6	34	56
419	chr8	71371784	71371765	+	23.11	28.11	>	6	34	56
420	chr7	73422670	73422651	-	23.11	37.7	>	6	34	56
421	chr5	33039602	33039583	+	23.05	27.48	>	6	34	56
422	chr2	153143004	153142985	-	23.02	20.31	>	6	34	56
423	chr14	98181824	98181805	-	23.0	7.93	>	6	34	56
424	chr2	136887058	136887039	-	22.97	12.49	>	6	34	56
425	chr1	135136701	135136682	-	22.88	42.44	>	6	34	56
426	chr5	4948481	4948462	-	22.86	27.0	>	6	34	56
427	chr10	71422814	71422795	+	22.81	51.25	>	6	34	56
428	chr8	64597251	64597232	-	22.66	30.06	>	6	34	56
429	chr1	162336834	162336815	-	22.45	14.914	>	6	34	56
430	chr9	94738996	94738977	+	22.42	42.94	>	6	34	56
431	chr17	53403136	53403117	+	22.4	18.28	>	6	34	56
432	chr2	155811920	155811901	-	22.36	51.28	>	6	34	56
433	chr12	52010769	52010750	+	22.33	16.6	>	6	34	56
434	chr3	44912870	44912851	-	22.31	11.58	>	6	34	56
435	chr5	98348848	98348829	+	22.25	34.97	>	6	34	56
436	chr15	80706301	80706282	+	22.25	25.52	>	6	34	56
437	chr1	167932285	167932266	-	22.22	36.66	>	6	34	56
438	chr14	121455709	121455690	-	22.2	25.7	>	6	34	56
439	chr4	98243714	98243695	-	22.16	26.34	>	6	34	56
440	chr4	143027468	143027449	+	22.14	29.11	>	6	34	56
441	chr2	153668926	153668907	+	22.14	25.36	>	6	34	56
442	chr9	41461929	41461910	-	22.14	12.42	>	6	34	56
443	chr4	109431143	109431124	-	22.1	22.34	>	6	34	56
444	chr5	44831505	44831486	-	22.08	22.05	>	6	34	56
445	chr8	119676601	119676582	-	22.03	33.06	>	6	34	56
446	chr17	40824060	40824041	-	22.02	34.28	>	6	34	56
447	chr15	37102366	37102347	-	22.0	13.84	>	6	34	56
448	chr1	119083862	119083843	-	21.92	45.47	>	6	34	56
449	chr5	41044703	41044684	-	21.78	28.61	>	6	34	56
450	chr19	24622032	24622013	+	21.77	22.19	>	6	34	56
451	chr3	58159626	58159607	-	21.75	32.1	>	6	34	56
452	chr1	38130140	38130121	-	21.75	23.66	>	6	34	56
453	chr2	129472129	129472110	-	21.73	30.17	>	6	34	56
454	chr9	15682043	15682024	-	21.73	11.22	>	6	34	56
455	chr9	69502720	69502701	-	21.7	34.7	>	6	34	56
456	chr14	21120676	21120657	+	21.69	43.16	>	6	34	56
457	chr7	110645588	110645569	-	21.69	43.56	>	6	34	56
458	chr16	78950579	78950560	-	21.64	3.295	>	6	34	56
459	chr7	131899517	131899498	+	21.56	16.44	>	6	34	56
460	chr8	106403484	106403465	-	21.53	20.23	>	6	34	56
461	chr17	73303429	73303410	+	21.48	50.6	>	6	34	56
462	chr1	83727325	83727306	+	21.48	26.81	>	6	34	56
463	chr13	29857603	29857584	+	21.42	9.836	>	6	34	56
464	chr14	104033786	104033767	+	21.34	21.16	>	6	34	56
465	chr7	119011391	119011372	+	21.31	35.56	>	6	34	56
466	chr1	69165377	69165358	+	21.31	25.0	>	6	34	56
467	chr1	192727176	192727157	+	21.28	21.9	>	6	34	56
468	chr9	50438293	50438274	-	21.2	27.17	>	6	34	56
469	chr15	46990407	46990388	-	21.14	10.516	>	6	34	56
470	chr13	73646874	73646855	+	21.14	37.5	>	6	34	56
471	chr16	67089956	67089937	+	21.12	15.94	>	6	34	56
472	chr2	83332995	83332976	-	21.02	18.14	>	6	34	56
473	chr8	10415030	10415011	+	21.0	37.3	>	6	34	56
474	chr1	35716149	35716130	-	20.89	18.69	>	6	34	56
475	chr7	43920039	43920020	-	20.83	34.3	>	6	34	56
476	chr8	15138726	15138707	+	20.81	41.03	>	6	34	56
477	chr13	6515705	6515686	+	20.8	28.08	>	6	34	56
478	chr2	64948996	64948977	-	20.72	23.2	>	6	34	56
479	chr19	20345737	20345718	+	20.7	55.44	>	6	34	56
480	chr5	33994851	33994832	+	20.64	14.97	>	6	34	56
481	chr14	76479953	76479934	+	20.62	37.16	>	6	34	56
482	chr3	144737048	144737029	+	20.58	28.33	>	6	34	56
483	chr2	13597223	13597204	-	20.5	12.72	>	6	34	56
484	chr9	118908437	118908418	-	20.5	27.45	>	6	34	56
485	chr4	153484615	153484596	-	20.39	17.89	>	6	34	56
486	chr19	12433211	12433192	+	20.36	28.34	>	6	34	56
487	chr15	31611224	31611205	+	20.34	11.17	>	6	34	56
488	chr3	107206198	107206179	+	20.34	39.22	>	6	34	56
489	chr17	86909946	86909927	+	20.31	22.38	>	6	34	56
490	chr7	89473669	89473650	-	20.22	24.19	>	6	34	56
491	chr6	35252603	35252584	+	20.22	32.56	>	6	34	56
492	chr6	126168001	126167982	-	20.17	8.76	>	6	34	56
493	chr16	42169942	42169923	+	20.12	43.34	>	6	34	56
494	chr6	90607354	90607335	+	20.11	24.86	>	6	34	56
495	chr6	31664664	31664645	+	20.11	41.5	>	6	34	56
496	chr13	100002039	100002020	+	20.02	21.73	>	6	34	56
497	chr6	97523337	97523318	-	19.97	25.72	>	6	34	56
498	chr4	123529452	123529433	-	19.95	17.69	>	6	34	56
499	chr18	53744741	53744722	-	19.94	29.1	>	6	34	56
500	chr9	13849232	13849213	+	19.9	15.484	>	6	34	56
501	chr15	14052128	14052109	-	19.89	12.375	>	6	34	56
502	chr3	68053761	68053742	-	19.88	27.33	>	6	34	56
503	chr14	50799990	50799971	+	19.83	30.28	>	6	34	56
504	chr8	50292348	50292329	+	19.83	31.36	>	6	34	56
505	chr19	52993242	52993223	-	19.81	45.25	>	6	34	56
506	chr8	24546435	24546416	-	19.8	56.1	>	6	34	56
507	chr2	166085186	166085167	+	19.78	40.2	>	6	34	56
508	chr15	80260893	80260874	-	19.75	33.7	>	6	34	56
509	chr18	75606699	75606680	+	19.72	50.94	>	6	34	56
510	chr2	135957961	135957942	-	19.69	27.1	>	6	34	56
511	chr11	75179118	75179099	+	19.67	22.83	>	6	34	56
512	chr6	77628987	77628968	+	19.66	40.56	>	6	34	56
513	chr4	82614384	82614365	-	19.62	15.836	>	6	34	56
514	chr17	27190013	27189994	+	19.5	26.89	>	6	34	56
515	chr14	121451301	121451282	-	19.45	26.11	>	6	34	56
516	chr9	69987821	69987802	-	19.44	12.234	>	6	34	56
517	chr6	40479902	40479883	+	19.42	24.72	>	6	34	56
518	chr4	82619779	82619760	-	19.42	11.22	>	6	34	56
519	chr2	160593235	160593216	-	19.4	45.8	>	6	34	56
520	chr4	48691990	48691971	+	19.4	34.88	>	6	34	56
521	chr1	11140123	11140104	-	19.39	7.324	>	6	34	56
522	chr6	67858160	67858141	+	19.36	18.55	>	6	34	56
523	chr1	91914028	91914009	+	19.36	22.06	>	6	34	56
524	chr15	76196896	76196877	+	19.33	35.8	>	6	34	56
525	chr11	43767011	43766992	+	19.27	27.44	>	6	34	56
526	chr17	8463677	8463658	+	19.23	31.38	>	6	34	56
527	chr2	60442102	60442083	-	19.22	10.555	>	6	34	56
528	chr10	8242562	8242543	+	19.2	18.4	>	6	34	56
529	chr15	8382407	8382388	+	19.16	11.64	>	6	34	56
530	chr19	11360302	11360283	+	19.14	15.06	>	6	34	56
531	chr12	79305335	79305316	+	19.11	29.94	>	6	34	56
532	chr13	38992697	38992678	+	19.03	12.445	>	6	34	56
533	chr8	91147955	91147936	-	19.0	26.05	>	6	34	56
534	chr13	64443476	64443457	+	19.0	35.6	>	6	34	56
535	chr8	117898214	117898195	+	18.92	34.16	>	6	34	56
536	chr11	42423473	42423454	-	18.77	18.48	>	6	34	56
537	chr9	114957195	114957176	-	18.77	27.38	>	6	34	56
538	chr5	149647926	149647907	+	18.72	23.06	>	6	34	56
539	chr5	128440068	128440049	-	18.69	40.7	>	6	34	56
540	chr6	90606762	90606743	-	18.67	32.6	>	6	34	56
541	chr10	58560031	58560012	+	18.67	23.25	>	6	34	56
542	chr18	25538443	25538424	+	18.66	23.94	>	6	34	56
543	chr11	22987510	22987491	+	18.56	23.83	>	6	34	56
544	chr13	57269837	57269818	-	18.55	36.6	>	6	34	56
545	chr13	53096854	53096835	-	18.55	32.88	>	6	34	56
546	chr7	124783020	124783001	-	18.55	23.44	>	6	34	56
547	chr7	40687242	40687223	-	18.52	26.28	>	6	34	56
548	chr4	109438113	109438094	+	18.45	31.61	>	6	34	56
549	chr13	46663777	46663758	-	18.45	5.215	>	6	34	56
550	chr2	21927862	21927843	-	18.45	17.72	>	6	34	56
551	chr11	72564476	72564457	-	18.39	17.95	>	6	34	56
552	chr14	57362951	57362932	-	18.3	10.125	>	6	34	56
553	chr13	54063511	54063492	-	18.3	12.516	>	6	34	56
554	chr8	127191530	127191511	+	18.27	39.03	>	6	34	56
555	chr4	24249781	24249762	+	18.25	8.38	>	6	34	56
556	chr1	175603551	175603532	-	18.2	12.0	>	6	34	56
557	chr7	131897479	131897460	+	18.19	16.34	>	6	34	56
558	chr2	125259455	125259436	-	18.17	32.72	>	6	34	56
559	chr8	11943262	11943243	-	18.0	20.05	>	6	34	56
560	chr13	74861814	74861795	+	17.98	11.664	>	6	34	56
561	chr3	37302880	37302861	-	17.98	17.84	>	6	34	56
562	chr2	165391753	165391734	+	17.95	20.97	>	6	34	56
563	chr1	167669968	167669949	-	17.94	39.3	>	6	34	56
564	chr14	24311319	24311300	+	17.89	24.48	>	6	34	56
565	chr6	125622660	125622641	+	17.86	24.67	>	6	34	56
566	chr16	91694897	91694878	+	17.83	21.03	>	6	34	56
567	chr7	100886752	100886733	-	17.8	33.3	>	6	34	56
568	chr2	165779092	165779073	+	17.7	43.9	>	6	34	56
569	chr4	118988734	118988715	-	17.7	12.37	>	6	34	56
570	chr9	111939788	111939769	+	17.64	16.92	>	6	34	56
571	chr9	40806571	40806552	+	17.64	39.78	>	6	34	56
572	chr19	21571392	21571373	+	17.64	11.9	>	6	34	56
573	chr10	49785057	49785038	-	17.56	2.498	>	6	34	56
574	chr3	84922220	84922201	+	17.47	28.94	>	6	34	56
575	chr12	7991018	7990999	+	17.47	17.66	>	6	34	56
